id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
499466307,plastic bottles,1,,,plastic_bottles,Plastic bottles
1150285143,Food quality control concept,2,Germany,,other,Other
681198734,waste paper is collected and packed for recycling. Cardboard and Paper Recycling.,3,Ukraine,,waste,Waste
1422209464,"Recycling Products Concept. Organic Cotton Recycled Cloth. Zero Waste Materials. Environment Care, Reuse, Renewable for Sustainable Lifestyle. Using Mobile Phone to Scan on Tag for more Information",4,Thailand,,other,Other
493445439,trash for recycling,5,,,other,Other
1198739632,Female chemist in white protective gloves hold test tube,6,,,other,Other
1220250268,Plastic Recycling,7,Canada|North America|Maritime Provinces|Nova Scotia,,waste,Waste
1367813319,"Circular economy concept. Sharing, reusing,repairing,renovating and recycling existing materials and products as much possible.",8,,,other,Other
1149674776,Recycle waste management,9,Thailand,,plastic_bottles,Plastic bottles
1396259885,Chemicals from industry or laboratory  leak on the floor and damage the environment,10,Thailand,,other,Other
1197436795,"ontainer freight ship carrying container box for import and export business logistic and transportation by container ship in open sea, Aerial view",11,Hong Kong,,water_transportations,Water transportations
1152438400,empty dark room abstract fog smoke glow rays wall and floor interior displays product,12,Thailand,,other,Other
1182213468,Dangerous goods,13,Spain,,other,Other
1195504200,Label of a hazardous flammable chemical in a scientific laboratory,14,Colombia,,other,Other
1352409840,"Eliminate waste and pollution. Circular economy concept. Sharing, reusing,repairing,renovating and recycling existing materials and products as much possible.",15,,,other,Other
1276946528,Domestic appliances ready to be recycled,16,France,,waste,Waste
509660546,empty used trash bottle ecology environment,17,,,plastic_bottles,Plastic bottles
1083316408,Cotton bags and glass gar for free plastic shopping. Zero waste concept,18,Latvia,,other,Other
1344637775,"Gray textured concrete platform, podium or table with smoke in the dark",19,Spain,,other,Other
1209275116,A Pile of PET bottle flakes with green tree blur background.,20,,,other,Other
1190659587,"Plastic garbage collection on green background. Top view. Copy space. Flat lay. Stop plastic, recycling, separate collection of garbage concept",21,,,cleaning_products,Cleaning products
1411026184,A chemical gallon - Industrial equipment object.,22,Thailand,,other,Other
1329887858,Hand holding plastic beads. recycle icon. Save environment concept. blue polymer pallet.,23,Thailand,,other,Other
1415971766,"Recycling Products Concept. Organic Cotton Recycling Cloth. Zero Waste Materials. Environment Care, Reuse, Renewable for Sustainable Lifestyle. Recycle Icon show on Tag",24,Thailand,,other,Other
1408377458,"Circular economy concept. Sharing,reusing,repairing,renovating and recycling existing materials and products as much possible. Energy consumption and CO2 emissions are increasing.",25,,,other,Other
1352409837,"Circular economy concept.Eliminate waste and pollution.  Sharing, reusing,repairing,renovating and recycling existing materials and products as much possible.",26,,,other,Other
1408375432,"Circular economy concept. Sharing,reusing,repairing,renovating and recycling existing materials and products as much possible. Energy consumption and CO2 emissions are increasing.",27,,,other,Other
1209264119,Hand holding PET plastic bottle,28,,,other,Other
616246284,Microchip production factory. Technological process.Chip.  Technician. Computer expert. Manufacturing. Engineering.,29,,,other,Other
637155462,Plastic bottle recycling,30,,,plastic_bottles,Plastic bottles
1321087603,Pile of different plastic items on white background,31,Ukraine,,other,Other
1294220621,Morning highway,32,USA|Manhattan - New York City,,overland_transportations,Overland transportations
1426439070,"Recycling Products Concept. Organic Cotton Recycling Cloth. Zero Waste Materials. Environment Care, Reuse, Renewable for Sustainable Lifestyle. Recycle Icon show on Tag",33,Thailand,,other,Other
1502990332,Stock of barrels with chemicals at an industrial plant,34,Latin America|Colombia,,other,Other
1266928564,Dump Trucks transporting Platinum ore for processing,35,South Africa,,other,Other
1434733362,Carbon footprint and carbon emission reduction concept Symbols of carbon footprints on a wooden cube with an eco-friendly insignia. Environmental and climatic change are concepts. LCA.,36,Thailand,,other,Other
1295225111,Young man packing boxes with waste paper,37,Ukraine,,waste,Waste
1284056031,Plastic spray bottle with toxic liquid and hazard symbol stock images,38,Czech Republic,,cleaning_products,Cleaning products
1395712580,Group of empty coloured plastic bottles and containers for detergents and chemicals. Concept about plastic recycling or chemical pollution,39,Italy,,plastic_bottles,Plastic bottles
1255783433,sea container fallen in the sea,40,France,,water_transportations,Water transportations
629554844,Plastic bottle recycling,41,,,plastic_bottles,Plastic bottles
1227509246,"Storage tank of liquid chemical and petrochemical product tank, Aerial view at night. Hong Kong",42,Hong Kong,,petroil_gas_extraction,Petroil gas extraction
1319574530,"The concept recycling plastic. Empty plastic bottle and recycled polyester fiber, synthetic fabric blue background",43,Russia,,other,Other
1223636740,"Cigarette butts in yellow sand on sea beach on coast against background of blue sky and sea. Problem of humanity. Cigarette smoking, bad habit. Nicotine addiction. Garbage",44,Bulgaria,,other,Other
1411362043,Safety audit at the chemical storage area - Industrial working action.,45,Thailand,,other,Other
841426282,Chemical products,46,Türkiye - Country,,cleaning_products,Cleaning products
1137490560,"Eco friendly reusable recyclable white eco bag, cutlery and rice bank",47,Ukraine,,other,Other
1169375665,Abstract blurry background with smoke. 3d render,48,,,other,Other
1325734992,Explosive triangle placard sign on the carton box.,49,Thailand,,other,Other
916931622,Car spare parts logo. 3d concept,50,USA,,other,Other
545081492,different kinds of empty plastic bottles isolated on white,51,,,cleaning_products,Cleaning products
1402055985,"LCA, Life cycle assessment concept. Busines using a computer to ISO LCA standard aims to limit climate change. Methodology for assessing environmental impacts associated on value chain product. Carbon footprint evaluation.",52,Thailand|Larnaca International Airport,,other,Other
1311813892,Recycling of secondary raw materials,53,Bulgaria,,waste,Waste
1345809661,"Gray textured concrete platform, podium or table with smoke in the dark",54,Spain,,other,Other
1221400573,"Biodegradable disposable tableware. Paper plates, cups, boxes. Wooden cutlery.",55,,,other,Other
1402852398,Coffee and Laughs,56,UK|Northeastern England,,sustainable_local_products,Sustainable local products
1313859000,Mixed miscellaneous domestic  waste collected in a container in a community disposal place.,57,Switzerland,,waste,Waste
627264036,Microchip production factory. Technological process. Assembling the board. Computer expert.,58,,,other,Other
502788337,Truck on the highway with blurred motion,59,,,overland_transportations,Overland transportations
1401187893,"circular economy concept Increase energy use and CO2 emissions, share, reuse, repair, improve and recycle materials. Icon on a light bulb with a growing tree.",60,Thailand,,other,Other
1286329805,"Preparing self care package, seasonal gift box with zero waste cosmetics vs industrial plastic products",61,,,other,Other
1422449970,PET Plastic upcycling- product label.,62,Thailand,,other,Other
938318100,Plastic containers of different shapes and colors on a seamless background of tiles in blue,63,Spain,,cleaning_products,Cleaning products
1338614521,Colorful plastic bottle caps isolated on white. Recycling,64,Poland,,other,Other
490265597,Fuel pump in a gas station.,65,,,veichles_fuel,Veichles fuel
1409549269,Greenwashing concept,66,Germany,,other,Other
1058274692,"Petroleum, petrodollar and crude oil concept : Oil pump jack and flag of OPEC or Organization of Oil Exporting Countries, depicts the investment in the development or production of global oil industry",67,Persian Gulf Countries|New York Mercantile Exchange|Thailand|USA|Saudi Arabia,,other,Other
1305501787,3D mock up podium in pink clouds on a pink background. Abstract background in minimal style for product presentation. Render scene with geometric shapes and empty space.,68,Russia,,other,Other
1178332277,Crushed plastic bottle. Photo with clipping path.,69,Italy,,plastic_bottles,Plastic bottles
697275668,"empty plastic bags, containers, bottles",70,United Arab Emirates|Persian Gulf Countries,,other,Other
1055253254,Cosmetics. Powder exsplosion.,71,Italy,,other,Other
1365592285,"Circular economy concept. Energy consumption and CO2 emissions are increasing.
Sharing,reusing,repairing,renovating and recycling existing materials and products as much possible.",72,,,other,Other
1167305774,"Pipes tubes steel metal, round profile, stacked full background. 3d illustration",73,,,other,Other
1350196283,"Shopping cart or trolley filled with grass, Sale, discount, ecology concept. Sustainable lifestyle, conscious consumption. eco-shop, organic food. vegetarian, vegan, local products, sustainability.",74,Spain,,other,Other
1146579081,Aerosol spray can in hand ready to dispense.,75,USA,Lead Paint,other,Other
1220059344,Abstract blue mist studio background.,76,Germany,,other,Other
841426304,Chemical products,77,Türkiye - Country,,cleaning_products,Cleaning products
1154517636,"Hand holding scoop of powdered baby formula, ready to mix in bottles",78,USA,,other,Other
1215561248,Portrait of a mature woman wearing a protective mask shopping in a supermarket,79,Türkiye - Country,,mass_consumption_supermarket,Mass consumption supermarket
1150285146,Food quality control concept,80,Germany,,other,Other
1070204442,plastic waste bottle isolated on white,81,Germany,,plastic_bottles,Plastic bottles
1311898710,"Petroleum, petrodollar and crude oil concept : Pump jack and flag of OPEC or Organization of Oil Exporting Countries",82,Persian Gulf Countries|New York Mercantile Exchange|Thailand,,other,Other
1401766200,Net zero and carbon neutral concept.NET ZERO icons and symbols save the eco world and reduce pollution. environmental engineering touching green net zero icon and green icon on a green background.,83,Europe|Thailand,,other,Other
121078754,That red cargo ship and small boat,84,,,water_transportations,Water transportations
1077434958,Close-up of someone refilling gas to the motorcycle barrel tank in gas petrol station.,85,Thailand,,veichles_fuel,Veichles fuel
1062971164,Plastic Bag Background,86,Bulgaria,,other,Other
889174052,stack of steel tubes against blue sky,87,Japan,,other,Other
1385389107,"Circular economy concept. Eliminate waste and pollution. Sharing, reusing,repairing,renovating and recycling existing materials and products as much possible.",88,,,other,Other
1161322483,Dump Trucks transporting Platinum ore for processing,89,Crown Palladium|South Africa,,other,Other
157681994,Toilet paper,90,,,disposable_products,Disposable products
542579962,Metal Pipes,91,,,other,Other
1406680096,"Petroleum, petrodollar and crude oil concept : Pump jack and flag of OPEC or Organization of Oil Exporting Countries, depicting the investment in the development or production of global oil industry.",92,Persian Gulf Countries|New York Mercantile Exchange|Thailand,,other,Other
490135565,Petrol being pumped into a motor vehicle car.,93,,,veichles_fuel,Veichles fuel
1214300376,Young woman shopping in a grocery store and wearing protective medical mask,94,,,mass_consumption_supermarket,Mass consumption supermarket
177119006,Cardboard boxes on pallet,95,,,other,Other
1432801768,"ISO LCA standard aims for limited climate changing. LCA, Life cycle assessment concept.",96,Thailand|Larnaca International Airport,,other,Other
688492248,White plastic bag,97,Thailand,,other,Other
1207798335,Blue Medical Disposable Face Mask with covid-19 printed on it. Covid-19 - Wuhan Novel Coronavirus pneumonia gets official name from WHO: COVID-19. Disposable breath filter face mask with earloop,98,Wuhan City|China - East Asia,,disposable_products,Disposable products
1254413090,Variety of detergent bottles and chemical cleaning supplies,99,Poland,,other,Other
1152422556,empty dark room abstract fog smoke glow rays wall and floor interior displays product,100,Thailand,,other,Other
459472053,Oil industry,101,Siberia|Russia,,petroil_gas_extraction,Petroil gas extraction
1154860429,Businessman with EURO ECO tag for the car,102,Spain,,other,Other
492263537,Lady pumping gasoline fuel in car at gas station.,103,,,veichles_fuel,Veichles fuel
1479280375,Growing sustainability. LCA-Life cycle assessment concept. Environment icons on wooden sphere balls on a green background. Concept of environmental impact assessment related to product value chains.,104,Thailand|Larnaca International Airport,,other,Other
1204699820,Chinese Smartphone In Medical Mask. Concept Of Coronavirus Quarantine.,105,China - East Asia,,other,Other
1412147161,Recycling and environmental protection concept. Environment sustainable development.,106,Türkiye - Country,,other,Other
614011998,"Industry business production and heavy metallurgical industrial products, many shiny",107,,,other,Other
1214751653,"Blue shopping bag with fresh vegetables and goods was hanged on the front door, help concept during quarantine time because of coronavirus infection, copy space, selected focus",108,Germany,,other,Other
621992502,Go green button on keyboard,109,,,other,Other
1224541378,Woman wearing face mask push shopping cart in supermarket department store.,110,Serbia,,mass_consumption_supermarket,Mass consumption supermarket
614012058,Heap of shiny copper pipes with selective focus effect. 3d,111,,,other,Other
817710476,Trash cans standing in a row,112,Türkiye - Country,,other,Other
491978734,Screw caps,113,,,other,Other
1479242066,"Developing sustainable CO2 
Ideas for Sustainable development and green business based  renewable energy and can limit climate change, climate, global warming  An environmentally friendly approach",114,Thailand,,other,Other
1131844812,Fuel tanker truck,115,Spain,,overland_transportations,Overland transportations
1457421961,"blue concrete marble stone floor with smoke float use as background for advertising. abstract dark blue background, smoke, smog. empty dark scene, neon light, spotlights. concrete floor.",116,Thailand,,other,Other
1317757999,Group of cleaning products isolated on white,117,,,cleaning_products,Cleaning products
1216544146,Close-up of plastic recycling symbol 01 PET (Polyethylene terephthalate),118,Italy,,other,Other
1215726149,"Aerial view oil and gas petrochemical industrial, Refinery factory oil storage tank and pipeline steel, Oil refinery plant from industry zone, Ecosystem and healthy environment concepts.",119,Thailand,,petroil_gas_extraction,Petroil gas extraction
870572872,"Cylindrical copper steel profiles, hexagonal copper steel profiles, square copper steel profiles. Different copper steel products, 3D illustration",120,Russia,,other,Other
1207798297,Covid-19 - Wuhan Novel Coronavirus pneumonia gets official name from WHO: COVID-19. Disposable dressing on the face. Healthcare background. Blue medical disposable face mask with covid-19 print,121,Wuhan City|China - East Asia,,disposable_products,Disposable products
1396890382,Big heap of dark black lump coal on floor bulk. Charcoal sorage at warehouse stock reserve. activated anthracite packed in plastic bag sack on wooden pallet. Industrial and mining industry background,122,,,other,Other
514732626,Close up of Cigarette.,123,,,other,Other
157585483,Truck and Driver,124,,,overland_transportations,Overland transportations
544748056,different kinds of empty plastic bottles isolated on white,125,,,cleaning_products,Cleaning products
1394774848,Cardboard cup from recycled craft paper on an isolated white background,126,Türkiye - Country,,disposable_products,Disposable products
1145166459,Vegetables in fabric shopping bag on yellow background.,127,Japan,,other,Other
1409958226,Paper production machine in wastepaper recycling factory. Paper and pulp mill.,128,,,other,Other
1200486903,"While round metal barrel on white background isolated close up, oil drum, steel keg, tin canister, aluminium cask, petroleum storage packaging, fuel container, gasoline tank, oil production industry",129,,,other,Other
1004058106,"Circular economy business model for sustainable development system, decreasing natural resources needs and waste, recycle, reuse, refurbish, improve product lifecycle, businessman presentation",130,Germany,,other,Other
1392546887,equipment in large factories,131,China - East Asia,,petroil_gas_extraction,Petroil gas extraction
1142514613,Plastic bottles and bags pattern,132,,,other,Other
1451331414,"Detail of paper stack at the recycling center, indoor",133,France,,waste,Waste
1414043343,"Mexico, Panoramic view of Veracruz city port with container ships, tankers and car carriers",134,Latin America|Mexico|Veracruz,,petroil_gas_extraction,Petroil gas extraction
857493376,Repairman taking filthy aluminum mesh filter out of the cooker hood,135,Latvia,,other,Other
1175049161,squashed plastic bottles,136,Italy,,plastic_bottles,Plastic bottles
1362775953,Aerial view of a container ship carrying cargo for an import-export logistics business in the ocean. Smoke from a ship sailing in the ocean,137,Russia,,other,Other
1448178260,Green or greenwashing symbol. Concept words Green and Greenwashing on wooden cubes. Businessman hand. Beautiful orange table orange background. Business green greenwashing concept. Copy space.,138,,,other,Other
1150285145,Food quality control concept,139,Germany,,other,Other
1353578807,"Circular economy concept. Energy consumption and CO2 emissions are increasing.Sharing, reusing,repairing,renovating and recycling existing materials and products as much possible.",140,,,other,Other
1218075004,Men wearing face mask picking shopping cart in supermarket,141,Brazil|São Paulo,,mass_consumption_supermarket,Mass consumption supermarket
1129872899,Empty dark abstract room with orange fluorescent neon lights.,142,Sweden,,other,Other
1605457007,Checking on the chemical hazardous material form. Industrial safety working.,143,Thailand,,other,Other
468212901,Twisted plastic bottles in the shape of the recycling symbol,144,,,plastic_bottles,Plastic bottles
1246280158,Black mask for corona protection isolated on white background with clipping path,145,Netherlands,,disposable_products,Disposable products
475893605,Empty used plastic bottle on white background,146,,,plastic_bottles,Plastic bottles
1148583422,The symbol of stop using unfriendly environmental packages that made from plastic bags on yellow background.,147,Thailand,,other,Other
1075348984,plastic waste bottle isolated on white,148,Spain,,plastic_bottles,Plastic bottles
1427872038,Plastic bottle recycling,149,USA,,plastic_bottles,Plastic bottles
1472086295,"Reduction of carbon emissions, carbon neutral concept. Net zero greenhouse gas emissions target. Reducing carbon footprint concept.
Decreasing CO2 emissions target symbol on smart city background.",150,Larnaca International Airport,,other,Other
1060521488,"Background image, stacked plastic pipes in the backlight",151,Switzerland,,other,Other
875775068,Puddle of crude oil. Isolated on white. Top view.,152,Ukraine,,other,Other
1211987775,medical face protection blue Flu mask isolated on background,153,Canada,,other,Other
1390498946,Colored plastic caps from bottles of water isolated on a white background.,154,Ukraine,,other,Other
494346557,plastic bottles,155,,,plastic_bottles,Plastic bottles
1170853061,"Female in respirator holding basket with household chemicals, health risk",156,Ukraine,,other,Other
1128901303,"Storage tank of liquid chemical and petrochemical product tank, Aerial view at night.",157,Thailand,,other,Other
469514814,Old junk fridges,158,,,other,Other
889940774,"car wash, car wash foam water",159,Czech Republic,,other,Other
179453818,A nugget of uranium ore isolated on a white background,160,,,other,Other
1152428122,empty dark room abstract fog smoke glow rays wall and floor interior displays product,161,Thailand,,other,Other
1218075847,Portrait of woman wearing face mask picking shopping cart in supermarket,162,Brazil|São Paulo,,mass_consumption_supermarket,Mass consumption supermarket
1152421865,empty dark room abstract fog smoke glow rays wall and floor interior displays product,163,Thailand,,other,Other
1386479646,Chemical tank in the factory and Pump,164,Thailand,,veichles_fuel,Veichles fuel
849927336,Plastic bottle cap isolated on white background. Group of beverage lid for your design. Clipping paths object.,165,Thailand,,other,Other
1335269806,Polyester fiber synthetic fabrics eco-friendly textile recycled recyclable plastic bottles. Reuse recycling used bottles,166,Russia,,other,Other
1166637381,Petrochemical industrial,167,Thailand,,petroil_gas_extraction,Petroil gas extraction
1214300302,Young woman shopping in a grocery store and wearing protective medical mask,168,,,mass_consumption_supermarket,Mass consumption supermarket
1219607162,"Black fabric medical mask isolated for protection against pollution, virus, flu and corona virus",169,Jordan - Middle East,,disposable_products,Disposable products
1221625196,"Gas and petroleum declining or price decreasing or drop concept; double exposure of coins stack and oil refinery, with growing trend chart graph.",170,,,other,Other
1406505177,Pouring used cooking oil from frying pan into colander.,171,Thailand,,other,Other
157647646,Red tanker ship afloat in the ocean,172,,,water_transportations,Water transportations
1224216806,"Biodegradable disposable tableware. Paper plates, cups, boxes. Wooden cutlery. Flat lay",173,,,other,Other
1331303172,White plastic bag isolated on white background,174,Malaysia,,other,Other
637458002,Dirty used colored plastic bottle pile,175,,,other,Other
163703494,American truck on route 66 - USA,176,California|Midwest USA|USA,,overland_transportations,Overland transportations
1212905534,Mining trucks transporting Platinum ore for processing,177,South Africa,,other,Other
1152421863,empty dark room abstract fog smoke glow rays wall and floor interior displays product,178,Thailand,,other,Other
1152438416,empty dark room abstract fog smoke glow rays wall and floor interior displays product,179,Thailand,,other,Other
1345834262,"White, brown and red rice, buckwheat, millet, corn groats, quinoa and bulgur in wooden bowls on the light gray kitchen table. Gluten-free cereals. Top view with copyspace. Banner.",180,Belarus,,other,Other
172720701,Toilet Paper,181,,,other,Other
1152603123,steel pipes in the factory,182,Türkiye - Country,,other,Other
1295027009,Cheerful man standing on waste compressing machine background,183,Ukraine,,other,Other
157378019,"Hand Holding Shovel Full of Compost, Home Composting",184,,,other,Other
1344418760,"Gray textured concrete platform, podium or table with steam in the dark",185,Spain,,other,Other
614011946,Heap of shiny copper pipes with selective focus effect. 3d,186,,,other,Other
1084538374,"Container ship carrying container for import and export, Aerial view business logistic and freight transportation by ship in open sea.",187,Thailand,,water_transportations,Water transportations
1473737220,"Close up of clothing tag with recycle icon. Recycling products concept. Zero waste, suistainale production, environment care and reuse concept.",188,Serbia,,other,Other
1163455779,White lightbox with word fda recall on wood background,189,Thailand,,other,Other
1212905311,Mining trucks transporting Platinum ore for processing,190,South Africa,,other,Other
1173149201,The abstract scene of the preform shape and the various type of plastic drinking water bottle products.,191,Thailand,,plastic_bottles,Plastic bottles
1358919673,"Energy consumption and CO2 emissions are increasing. Circular economy concept. Sharing, reusing,repairing,renovating and recycling existing materials and products as much possible.",192,,,other,Other
1221574628,"Sharing makes us happy,female stranger is sharing medical face mask to the homeless old woman,giving mask to prevent the spread of germs,disease pandemic,coronavirus,flu season,dust,air pollution,free",193,Thailand,,other,Other
1215565856,Portrait of a mature woman wearing a protective mask shopping in a supermarket,194,Türkiye - Country,,mass_consumption_supermarket,Mass consumption supermarket
1083314776,"Fresh vegetables and fruits in eco cotton bags against vegetables in plastic bags. Zero waste concept - Use plastic bags or multi-use bags. Zero waste, green and conscious lifestyle concept",195,Latvia,,other,Other
531356635,Worldwide shipping and ecology concept,196,,,other,Other
1167173852,Mining wheel loader Scooping Gravel on a night time construction project,197,South Africa,,other,Other
460849785,felling of the forest,198,,,other,Other
1213539342,"Shopping bag with goods and food is hanging at the front door, neighborhood help concept at quarantine time because of coronavirus infection, copy space",199,Germany,,other,Other
1402676194,Checking Out at the Weigh Station,200,UK|Northeastern England,,sustainable_local_products,Sustainable local products
1057675662,Plastic bottle product concept White background with accessories.,201,Türkiye - Country,,cleaning_products,Cleaning products
1060419864,Cleanliness of plastic pallet,202,Thailand,,other,Other
1165966128,"Aerial view of tank terminal with lots of oil storage tank and petrochemical storage tank in the harbour, Industrial tank storage aerial view.",203,Thailand,,other,Other
1168015844,Cosmetics. Powder exsplosion.,204,Italy,,other,Other
1479280428,Growing sustainability. LCA-Life cycle assessment concept.Woman using a laptop with LCA icon on virtual screen. environmental impact assessment related to product value chains. ISO LCA standard.,205,Thailand|Larnaca International Airport,,other,Other
905638398,Recycling Centre,206,Canada,,waste,Waste
938320452,Many plastic containers of different shapes and colors,207,Spain,,cleaning_products,Cleaning products
1205003734,Plastic bottles pollute nature and humanity from excessive use of plastic in production. Selective focus with sunset in nature.,208,Serbia,,other,Other
1473738121,"Close up of clothing tag with recycle icon. Recycling products concept. Zero waste, suistainale production, environment care and reuse concept.",209,Serbia,,other,Other
1488812851,"White modern design air purifier, dehumidifier in living room, sage green suede leather sofa, cushion, tropical tree on wood parquet floor in sunlight",210,Thailand,,other,Other
1011893406,disposable package. goods consumer,211,Russia,,other,Other
692096648,precast concrete water drain pipe,212,Thailand,,other,Other
1188872070,Truck on the road,213,California|USA|San Bernardino County,,overland_transportations,Overland transportations
932767418,The recycling waste of an apartment in Korea.,214,Korea|South Korea,,waste,Waste
1161320121,Dump Trucks transporting Platinum ore for processing,215,Crown Palladium|South Africa,,other,Other
1483812302,A station for collecting natural gas produced by gas wells,216,China - East Asia,,petroil_gas_extraction,Petroil gas extraction
1165782224,Shopping mesh bag and home container for storage cereals. Zero waste concept.,217,,,other,Other
1283025673,Oil barrel plastic canisters mixed colours at garage,218,UK,,other,Other
1294299748,Man showing thumbs up on compressing machine background,219,Ukraine,,other,Other
637155586,Plastic bottle recycling,220,,,plastic_bottles,Plastic bottles
1243960741,"Asian woman wearing mask using mask vending machine to buy mask for protective spreading of disease coronavirus Covid-19 in shopping mall in Bangkok, Thailand.",221,Bangkok|Thailand,,other,Other
491897667,Plastic bottle recycle sign,222,,,other,Other
502915540,plastic bottle for recycle,223,,,plastic_bottles,Plastic bottles
1485266862,"White modern design air purifier, dehumidifier in beige brown wall bedroom, gray cover sheet bed, tropical palm tree in sunlight on wood parquet floor",224,Thailand,,other,Other
