id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
956840986,"Urban farming sustainability concept, captured in Milan, Lombardy, Italy.",1,Italy|Milan|Lombardy,,urban_farms,Urban farms
1365312226,Mother and son watering vegetables in their urban garden,2,Spain,,balconies,Balconies
646190406,Friendly team harvesting fresh vegetables from the rooftop greenhouse garden and planning harvest season on a digital tablet,3,Canada,,community_inclusivity,Community inclusivity
1212980943,planting vegetable seedlings such as kohlrabi and radishes in a raised bed on a balcony,4,Austria|Europe,,other,Other
1248582254,Urban gardens in Chicago,5,Chicago - Illinois|USA,,urban_farms,Urban farms
1188475538,Taking care of my plants,6,Serbia,,other,Other
1365678825,Green living,7,,,other,Other
1154570332,Young woman waters plants in an urban garden in front of a power station,8,Berlin|Germany,,other,Other
531628028,"Urban gardening in Paris, France",9,Paris - France|France,,urban_farms,Urban farms
1204236438,Young people learning urban gardening,10,Argentina|Buenos Aires,,community_inclusivity,Community inclusivity
939499390,You’re never too young to go green,11,Denmark,,other,Other
1033669508,Vegetable garden,12,Germany,,other,Other
1413475390,3D illustration of modern eco building in city with vertical vegetation on exterior,13,Spain,,vertical,Vertical
1227084632,Home gardening at balcony,14,Malaysia,,other,Other
1212380872,"Urban gardening: Watering fresh vegetables and herbs on fruitful soil in the own garden, raised bed.",15,Austria,,vegetables_fruits,Vegetables fruits
171342844,Urban community garden,16,,,other,Other
934921136,african american woman in community garden,17,USA,,other,Other
1336243757,Urban farming,18,Austria,,other,Other
1427848310,Multiracial group of young men and young women gather as volunteers to plant vegetables in community garden with mature woman project manager advice and teamwork,19,Canada,,community_inclusivity,Community inclusivity
1179990617,African American woman examining spinich leaves in her organic garden,20,South Africa,,other,Other
1180726123,Ornamental shrubs and plants near a residential city house,21,Poland,,public_green_in_cities,Public green in cities
1162242761,Community kitchen garden. Raised garden beds with plants in vegetable community garden.,22,Russia,,public_green_in_cities,Public green in cities
1168144236,summer: on the roof top garden young adults watering plants,23,Berlin|Germany,,other,Other
963245514,Young woman arranging plants in her rooftop garden,24,Serbia,,other,Other
1248582249,Urban gardens in Chicago,25,Chicago - Illinois|USA,,urban_farms,Urban farms
810579140,young man picking a tomato from the plant,26,Spain,,vegetables_fruits,Vegetables fruits
1142926776,rooftop greenhouse garden,27,Canada,,urban_farms,Urban farms
1175641792,"Container vegetables gardening. Vegetable garden on a terrace. Red, orange, yellow, black tomatoes growing in container",28,USA,,other,Other
599700512,pulling beets out of the ground in urban communal garden,29,California|San Francisco - California|USA,,other,Other
1401678283,Two unrecognizable farmers planting tomato seedlings into the ground.,30,Arabia|Spain,,other,Other
667926594,Square meter of urban vegetable garden,31,Netherlands,,other,Other
956306584,Urban Gardening,32,Germany,,balconies,Balconies
1153221425,Going green!,33,Serbia,,indoor,Indoor
1167505562,"Green sprouts on blurred city background, environmental concept",34,Country - Geographic Area|Thailand,,other,Other
939499362,Making the farmer’s market a family affair,35,Denmark,,other,Other
874884032,There's always room to grow,36,South Africa,,other,Other
1188478555,Taking care of my plants,37,Serbia,,other,Other
690299276,"Gardening - give a little, take a little",38,South Africa,,other,Other
898219740,young man with a basket full of vegetables,39,Spain,,vegetables_fruits,Vegetables fruits
1144977067,Family planting tree on Arbor day in spring,40,,,other,Other
1250460233,A small garden with little greenhouse in the city. Growing own flowers and plants and vegetables. Urban small botanical english garden on a little area.,41,Netherlands,,other,Other
1213172486,picking fresh herbs grown on a raised bed on a balcony,42,Austria|Europe,,other,Other
542314240,urban gardening: woman pours plants on roof garden,43,Berlin|Europe|Germany,,other,Other
878674562,Taking care of my rooftop garden,44,Europe|Serbia,,other,Other
1304157532,Caucasian Woman in Mid 60s Caring for Kumquat Plant on Deck,45,Barcelona - Spain|Spain,,other,Other
936599200,Community Garden in Paris,46,Canal St Martin|Paris - France|10th Arrondissement of Paris|France,,urban_farms,Urban farms
1140183743,red ripe tomatoes in the vases of an urban garden,47,Italy,,balconies,Balconies
1365678881,Green buildings,48,,,roofs,Roofs
490580465,Renewable Energy Green Urban Farming in Hong Kong China,49,Hong Kong|Hong Kong Island|Central District - Hong Kong,,urban_farms,Urban farms
961308290,young man with a basket full of vegetables,50,Spain,,vegetables_fruits,Vegetables fruits
1313876779,raised bed with growing vegetable and a man doing garden work in the background,51,Europe|Austria,,other,Other
1148820091,Family planting tree on Arbor day in spring,52,,,other,Other
1223422930,Young African Woman Checking Plant Growth in Roof Garden,53,Argentina|Buenos Aires,,other,Other
157738682,"Urban farm plot in Coney Island, New York",54,New York City|Coney Island - Brooklyn|Brooklyn - New York,,urban_farms,Urban farms
1193542591,Multi-Ethnic Urban Agriculturalists Learning about Plants,55,Buenos Aires|Argentina,,community_inclusivity,Community inclusivity
678775046,Vertical garden,56,Berlin|Germany,,other,Other
1054248908,Young woman in organic urban gardening project at raised bed,57,Berlin|Germany,,other,Other
157638786,Ethnically diverse kids going green and planting in urban,58,,,community_inclusivity,Community inclusivity
1222647141,Green city,59,City of London|Central London|Southwark|UK,,other,Other
1306572687,Watering my lovely urban garden,60,Serbia,,balconies,Balconies
645199544,Community Garden,61,Canada,,other,Other
157646107,Chef Harvests Homegrown Herbs from Urban Restaurant Rooftop Healthy Eating,62,,,other,Other
1412631406,"Urban balcony garden with chard, kangkung and other easy to grow vegetables",63,Czech Republic,,balconies,Balconies
1054248834,Young woman in organic urban gardening project at raised bed,64,Berlin|Germany,,other,Other
963245770,Young woman arranging plants in her rooftop garden,65,Serbia,,other,Other
1320401601,Trees grow on building.,66,Tokyo - Japan|Japan,,other,Other
1365678941,Green living,67,,,roofs,Roofs
1142272751,Raided beds in an urban garden growing plants herbs spices and vegetables,68,Europe|Lithuania,,other,Other
1365312223,Mother and son working on a urban garden at home,69,Spain,,balconies,Balconies
681900476,Friendly african american woman harvesting fresh vegetables from the rooftop greenhouse garden,70,Canada,,vegetables_fruits,Vegetables fruits
1193542580,Smiling African Woman Checking Plant Growth in Roof Garden,71,Argentina|Buenos Aires,,other,Other
813099580,"Urban gardening, fresh herbs in clay pots",72,Germany,,other,Other
936614982,Urban Garden in Paris,73,Paris - France|France,,urban_farms,Urban farms
678775060,Vertical garden,74,Berlin|Germany,,other,Other
1189121094,Crates of Young Plants and Seed Starters in Roof Garden,75,Argentina|Buenos Aires,,vegetables_fruits,Vegetables fruits
1161174041,Vertical Garden,76,Germany,,vertical,Vertical
1248160497,Asian woman Gardener Spraying of water on the plant in the garden at home.,77,Thailand,,indoor,Indoor
519679922,Vertical Garden – Green Wall –  BioWall,78,,,vertical,Vertical
1225951760,Girlfriends enjoying wine on the open terrace,79,Serbia,,other,Other
527615599,Mixed Race Couple Planting Rooftop Garden Together,80,London - England|UK,,community_inclusivity,Community inclusivity
1336244030,Urban farming,81,Austria,,other,Other
1394004013,urban gardening in the city,82,Austria,,urban_farms,Urban farms
1086399350,Seedlings are growing in plant boxes,83,Europe|Latvia,,other,Other
1403641144,Urban farming,84,Austria,,urban_farms,Urban farms
1426912798,Adult Woman Arranging Plants In Her Rooftop Garden,85,Slovenia,,other,Other
512700990,Hydroponic Vertical Farm,86,,,other,Other
1427848297,Multiracial group of young men and young women gather as volunteers to plant flowers in community garden with mature woman project manager advice and teamwork,87,Canada,,community_inclusivity,Community inclusivity
1263893484,Green building,88,,,other,Other
909077640,"Strebergarten, wild in Berlin",89,Tempelhof|Berlin|Germany,,other,Other
1366203877,Asian Chinese woman examining mints in greenhouse Hydroponic Vertical Farm Eco system comparing date with digital tablet,90,Malaysia,,internal_greenhouses,Internal greenhouses
1168144452,panoramic view over a roof top garden project in Berlin,91,Berlin|Germany,,urban_farms,Urban farms
1297863899,Community Garden Aerial Photo,92,USA,,other,Other
946850198,Urban garden on top of the city,93,Serbia,,balconies,Balconies
1154570312,"industrial building with an urban garden on the rooftop, people do gardening",94,Berlin|Germany,,urban_farms,Urban farms
1290324234,Urban garden in Detroit Michigan,95,Detroit - Michigan|Michigan|USA,,other,Other
1367330170,Students planting in the school's garden,96,Brazil,,community_inclusivity,Community inclusivity
951214224,My rooftop garden,97,Serbia,,balconies,Balconies
1451830203,Los Angeles Urban Farm,98,Los Angeles County|City Of Los Angeles|USA,,urban_farms,Urban farms
656759132,View of Tokyo at Marunouchi,99,Tokyo - Japan|Marunouchi|Japan,,roofs,Roofs
1470970496,People working on roof garden,100,Slovenia,,urban_farms,Urban farms
964880644,Enjoying in a small garden,101,Serbia,,other,Other
1427848004,Young multiracial group of volunteers working together teamwork in community garden park in neighborhood environment,102,Canada,,community_inclusivity,Community inclusivity
923228128,Close Up Of Freshly Harvested Heirloom Tomatoes,103,Germany,,vegetables_fruits,Vegetables fruits
1167724205,"Container vegetables gardening. Vegetable garden on a terrace. Red, orange, yellow, black tomatoes growing in container",104,USA,,other,Other
1329757808,Green building,105,,,roofs,Roofs
1049220164,"Container vegetables gardening. Vegetable garden on a terrace. Herbs, tomatoes growing in container",106,USA,,other,Other
860940546,Farm In The City,107,UK,,urban_farms,Urban farms
939499382,Growing a green conscious family,108,Denmark,,kids_parents,Kids parents
626959938,Over the shoulder harvesting vegetables,109,California|City Of Los Angeles|Los Angeles County|USA,,vegetables_fruits,Vegetables fruits
1342115253,Gardening tools with seedlings. Urban organic vegetable garden. Garden tools. Lettuce seedling. Onion seedling. Beet seedling. Chard seedlings. Strawberry seedlings,110,Spain,,other,Other
1384471638,Urban gardening at home with self-growing of seeds with homemade coconut soil,111,Germany,,other,Other
540198130,Insect hotel or house in a city environment,112,,,other,Other
1302496124,Urban garden flowers,113,Denmark,,other,Other
527611557,Group Of Friends Planting Rooftop Garden Together,114,London - England|UK,,community_inclusivity,Community inclusivity
1082428872,Senior woman gardening on her city terrace,115,Serbia|Europe,,balconies,Balconies
939499386,Name names from nature,116,Denmark,,kids_parents,Kids parents
951213500,Rest from gardening,117,Serbia,,balconies,Balconies
1367973978,Strawberry bushes with ripe fruits in pot on balcony. Organic growing at home,118,Ukraine,,balconies,Balconies
1499019570,Roof garden,119,,,roofs,Roofs
1249037280,Free time for little house gardening,120,Serbia,,indoor,Indoor
1152223990,Biotech Specialist Examining Living Lettuce at Vertical Farm,121,Taiwan,,internal_greenhouses,Internal greenhouses
939499376,"Go organic together, grow together",122,Denmark,,kids_parents,Kids parents
1447523859,Two woman gardening on a rooftop garden terrace,123,,,other,Other
1356567885,Vertical Hydroponic Plant System With Cultivated Lettuces,124,USA,,other,Other
1377689560,Vertical garden in Hong Kong,125,Tsim Sha Tsui|Kowloon|Hong Kong|Asia,,other,Other
1171177520,Woman gardening in the city,126,England|UK|London - England,,other,Other
1199001154,Urban gardening course,127,Argentina|Buenos Aires,,community_inclusivity,Community inclusivity
946846784,Taking care of my rooftop garden,128,Serbia,,other,Other
909085694,"Garden Dream, Berlin",129,Tempelhof|Berlin|Germany,,other,Other
1377686802,Urban vertical garden design - close up,130,Tsim Sha Tsui|Kowloon|Hong Kong|Asia,,other,Other
1154570362,Young man waters herbs and plants waters plants in an urban garden,131,Berlin|Germany,,other,Other
543976546,plants of tomatoes and zucchini,132,Southern Italy|Sicily,,other,Other
874884714,Making gardening a bonding experience,133,South Africa,,other,Other
1455004582,Urban garden on the roof of a carpark in Singapore,134,Singapore,,urban_farms,Urban farms
1470196096,Smiling woman watering plants by flowerbed,135,Slovenia,,other,Other
500509672,Backyard vegetable garden,136,,,other,Other
1365749358,"Young Asian man taking care of his plants at balcony at home, watering and potting houseplants with care. Enjoying his time at cozy home. Going green lifestyle",137,Asia|Hong Kong,,indoor,Indoor
1217142177,Hands and plants in the grow patch,138,,,other,Other
1385975869,"Various potted herbs and plants growing on home wood balcony in summer, small vegetable garden concept.",139,Estonia,,balconies,Balconies
1392356183,Plants on Colvile places london,140,Europe|Central London|UK|London - England|City Of Westminster - London,,public_green_in_cities,Public green in cities
1327797750,Farmers holding fresh radish in hands at home garden,141,Ukraine,,other,Other
814288806,Young woman in organic urban gardening project at raised bed,142,Berlin|Germany,,other,Other
1142926779,Father and son built a roller box plant in a rooftop community garden,143,Canada,,other,Other
1188473929,Our moments on the balcony,144,Serbia,,other,Other
639711048,Woman relaxing on balcony holding cup of coffee or tea,145,,,balconies,Balconies
1324276102,Unrecognizable adult hands girl green plant for raised bed,146,USA,,other,Other
1154570286,Young woman waters plants in an urban garden in front of a power station,147,Berlin|Germany,,urban_farms,Urban farms
475211098,red tomato plant in the balcony,148,,,balconies,Balconies
1061401484,Female farmer at her farm,149,,,other,Other
1267061723,"When your plants bloom, so do you",150,South Africa,,balconies,Balconies
934919516,african american woman tending to kale in communal urban garden,151,San Francisco - California|California|USA,,other,Other
542313612,urban gardening: man pours his plants on roof garden,152,Berlin|Europe|Germany,,other,Other
1216124586,Urban garden / small / mini / English vertical garden with greenhouse nice and green fresh start of the spring growing your own vegetables,153,Netherlands,,other,Other
1221421869,"Urban gardening: Watering fresh vegetables and herbs on fruitful soil in the own garden, raised bed.",154,Austria,,other,Other
641942344,Green Wall – Vertical Garden –  BioWall,155,Thailand,,vertical,Vertical
1188479443,Arranging my rooftop garden,156,Serbia,,other,Other
659601664,Friendly team harvesting fresh vegetables from the rooftop greenhouse garden and planning harvest season on a digital tablet,157,Canada,,other,Other
687939992,Young woman in urban gardening project at raised bed,158,Berlin|Germany,,other,Other
934919462,proud african american gardener posing for portrait,159,USA,,other,Other
655902280,Skateboarding in Mexico,160,Mexico,,other,Other
929322116,Happy smiling kid boy holding organic carrots outdoors of farm. Boy having fun with  gardening  and helping,161,Russia,,other,Other
1221454990,Young man taking care of his plants on a balcony,162,Poland,,other,Other
1355353361,A beautiful woman caring about rosemary plant,163,Ukraine,,other,Other
