id,title,rank,keyword_Location,cluster,clusterLabel
1141520118,Ecological catastrophy,1,Russia|Magnitogorsk,chimney,Chimney
167231386,detail of white smoke polluted sky,2,,chimney,Chimney
174655376,Cars at Rush Hour Driving Through Thick Smog,3,,car_traffic,Car traffic
157313230,Polluting clouds of exhaust fumes rise in the air Denver Colorado,4,Colorado|Denver,exhaust,Exhaust
1130625459,woman closes her nose with hand because of bad traffic pollution,5,Thailand|Asia,masks,Masks
484942854,Los Angeles Smog,6,City Of Los Angeles|Los Angeles County,foggy_city,Foggy city
1126465138,Asian woman are going to work.she wears N95 mask.prevent PM2.5 dust and smog.she is coughing,7,Asia|Thailand,masks,Masks
158343252,Winter in the city,8,,car_traffic,Car traffic
1029905726,Smoke from factory pipe against dark overcast sky,9,Ukraine,chimney,Chimney
1084561778,Woman wearing a real anti-smog face mask and checking current air pollution with smart phone app,10,Poland,other,Other
1303511343,Aerial View of Coal Fired Power Station in Winter,11,Gansu Province|China - East Asia,chimney,Chimney
474366331,Environmental pollution,12,,chimney,Chimney
1318352544,A view of the smoking chimneys of a coal-fired power plant against the backdrop of a dramatic sky with clouds.,13,Poland,chimney,Chimney
94146417,Brown Layer of Los Angeles Smog,14,City Of Los Angeles|Los Angeles County,foggy_city,Foggy city
499292596,Mexico City skyline and smog,15,Mexico|Mexico City,foggy_city,Foggy city
1257104106,environmental air pollution concept of smog and cityscape,16,Istanbul|Türkiye - Country,foggy_city,Foggy city
184404565,Power plant,17,North Rhine Westphalia|Germany,other,Other
1180072881,Wind Blowing Pollution,18,USA,chimney,Chimney
852124680,Air pollution,19,Germany|Europe,chimney,Chimney
1016687670,Woman wearing face mask because of air pollution in the city,20,Latvia,masks,Masks
1368048517,Coal power plant and environmental pollution,21,Türkiye - Country,chimney,Chimney
106594948,traffic,22,,exhaust,Exhaust
1126464350,Asian woman are going to work.she wears N95 mask.Prevent PM2.5 dust,23,Thailand|Asia,masks,Masks
1294597903,Smoke from the car exhaust,24,,exhaust,Exhaust
490452539,"Delhi, cityscape",25,Delhi|India,foggy_city,Foggy city
487748498,Cyclist commuter wearing a pollution-mask in Central London,26,Europe|City of London|UK|London - England|Hackney,car_traffic,Car traffic
639753678,Clean and dirty air over a big city,27,Tokyo - Japan|Shanghai,foggy_city,Foggy city
1189129733,Wind energy versus coal fired power plant,28,Germany,chimney,Chimney
1334773114,coal power plant and fog.,29,Thailand,other,Other
1203854048,Woman Wear Face Mask And Coughing While Standing In The Town,30,,masks,Masks
157438307,Industrial Air Pollution,31,,chimney,Chimney
1394392205,"Air pollution seen over Shanghai's Puxi District buildings at dusk, China",32,Puxi|Shanghai|China - East Asia|Asia,foggy_city,Foggy city
623296954,"coal fired power station silhouette at sunset, Pocerady, Czech republic",33,Czech Republic,chimney,Chimney
1224429928,"Istanbul skyline in smog, Air pollution",34,Europe|Istanbul|Galata - Türkiye|Türkiye - Country,foggy_city,Foggy city
1132611862,London dawn,35,Primrose Hill|UK|Camden - London|London - England,foggy_city,Foggy city
1098018152,Steam or smoke comes from the pipes. Combined heat and power plant in the city. Landscape at sunset or dawn,36,Russia,chimney,Chimney
1135446074,air pollution crisis in city from diesel vehicle exhaust pipe on road,37,Thailand,exhaust,Exhaust
1199439178,Port Talbot Steel works,38,Europe|South Wales|UK|Port Talbot,other,Other
92032688,Environmental Problem,39,Kyoto Prefecture|Ijmuiden,chimney,Chimney
1142758664,"comparing green earth and effect of air pollution from human action, glbal warming concept, green tree and green earth with light and arid land with air pollusion at background",40,,other,Other
1135335888,bad air with PM 2.5 dust in the atmosphere  in the city,41,Thailand|Bangkok|China - East Asia,foggy_city,Foggy city
518628602,air pollution,42,Europe|Portugal|Western Europe,chimney,Chimney
183782857,The earth hidden behind a cloud of pollution,43,,other,Other
1135597696,Istanbul,44,Istanbul|Türkiye - Country,foggy_city,Foggy city
1360418975,"Particulates, urban city particulate air pollution particles meter, levels, electronic display closeup. NO2, PM10, PM2.5, microgram µg per cubic meter. Bad unhealthy dangerous air quality concept",45,Poland,other,Other
477218557,Asian boy wearing mouth mask against air pollution (Beijing),46,Asia|Beijing|China - East Asia,masks,Masks
182187069,Rush Hour Smog,47,,car_traffic,Car traffic
1126605395,Delhi air pollution.,48,Delhi|India|Asia,foggy_city,Foggy city
1211201174,Airborne dust particles and allergy concept.,49,Türkiye - Country,other,Other
182685291,Pollution spilling into the sky from a power plant,50,Germany,chimney,Chimney
95819280,looking at the chimney-stalks,51,,other,Other
1053991868,environmental pollution in the city,52,Russia,chimney,Chimney
1304009347,Layout about the most common dangerous domestic pollutants we can find in our homes which cause poor indoor air quality and chronic disease - Sick Building Syndrome concept illustration with hand writing with a pencil on glass wall,53,Italy,other,Other
1214208242,Young sad woman in a mask worried about environmental problems and air pollution is standing on the background of a pipe with smoke and thinking about the future,54,Russia,other,Other
1153036967,Air pollution,55,Türkiye - Country,chimney,Chimney
686143506,Smog. Eiffel Tower. Paris.,56,Paris - France|France|Eiffel Tower - Paris|Europe,foggy_city,Foggy city
1132962762,Air pollution,57,,chimney,Chimney
901866552,Skyline,58,West Asia|Istanbul|Europe|Türkiye - Country,foggy_city,Foggy city
1291659452,Environmental air pollution concept of smog and cityscape,59,Istanbul|Türkiye - Country,other,Other
1354562446,"Young Asian woman sitting on bed and blowing her nose with tissue while suffering from a cold, with medicine bottle and a glass of water on the side table",60,Hong Kong,masks,Masks
