id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
845816364,Garbage pile in trash dump or landfill. Pollution concept.,1,Czech Republic,,dumpsites,Dumpsites
1150285143,Food quality control concept,2,Germany,,research,Research
1208241405,Discarded and spoiled food on a rubbish heap,3,Germany,,rotten_vegetables,Rotten vegetables
472779220,Analyzing food,4,,,other,Other
1249522339,Tractor spray fertilizer on green field.,5,USA,,other,Other
1317882487,Close up side shot of microplastics lay on people hand.Concept of water pollution and global warming. Climate change idea.,6,Thailand,,other,Other
1014317284,Bacteria And Germs On Vegetables,7,Canada,,other,Other
1340016787,Man placing recycled edible oil from a frying pan into a plastic bottle in his home kitchen. Recycle at home concept,8,Spain,,other,Other
616899678,Garbage cans. Recycling concept.,9,,,cosumption,Cosumption
1153276321,Technologist in protective white suit with hairnet and mask standing in food factory.,10,Serbia,,other,Other
855160904,Agriculture Inspector Controlling the Crop,11,Slovenia,,other,Other
1297265690,Organic food wastes,12,,,other,Other
1176948944,Different trash. Garbage sorting. Domestic waste for compost from fruits and vegetables.,13,Canada,,rotten_vegetables,Rotten vegetables
1171440648,Throw the garbage bag into the trash can,14,China - East Asia,,other,Other
1127751158,Big garbage container,15,Thailand,,dumpsites,Dumpsites
1161394261,single use plastic packaging issue. fruits and vegetables in plastic bags,16,Norway,,other,Other
1473199925,Group of people party at home after meal eating throw away leftovers food to plastic bag junk trash bin. Net zero waste go green eco friendly lifestyle reduce household scrap. Save the planet earth.,17,Thailand,,cosumption,Cosumption
1160200476,Scientist working on GMO bananas,18,Serbia,,research,Research
1311288065,Industrial waste oil container,19,,,other,Other
840623304,Pollution concept. Garbage pile in trash dump or landfill at sunset.,20,Czech Republic,,other,Other
1023031424,Garbage prepared for recycling,21,Poland,,other,Other
1301450167,"Ugly vegetables, side view, close-up. Concept - Food organic waste reduction. Using in cooking imperfect products",22,Russia,,other,Other
1202567986,Plastic Pollution Concept,23,Italy,,water_pollution,Water pollution
1053433012,Poor children earn money by selling garbage.,24,Thailand|Country - Geographic Area|Kathmandu,,dumpsites,Dumpsites
1294597903,Smoke from the car exhaust,25,,,other,Other
664980412,Trash for recycle and reduce ecology environment,26,Thailand,,cosumption,Cosumption
700914734,Fresh Food In Garbage Can To Illustrate Waste,27,UK,,cosumption,Cosumption
1268275404,Food Loss and Food Waste. Reducing Wasted Food At Home. Solving the problem of Food waste,28,,,cosumption,Cosumption
1371610815,Different fresh vegetables and magnifying glass on table. Poison detection,29,Ukraine,,other,Other
1217083841,Banana peel was thrown into the garbage bag for disposal. Look from the inside of the basket.,30,Thailand,,other,Other
1301047618,Environmental Food Toxins,31,Canada,,other,Other
183767400,Trash,32,,,other,Other
187771474,Fresh Food In Garbage Can To Illustrate Waste,33,,,other,Other
903246318,close up of a Recycling plastic,34,Spain,,other,Other
1220250268,Plastic Recycling,35,Canada|North America|Maritime Provinces|Nova Scotia,,dumpsites,Dumpsites
684470580,The bulldozer will clean the waste dump. Waste processing plant. Technological process. Business for sorting and processing of waste.,36,Russia,,other,Other
1296028429,cubes with message ZERO WASTE on green grass - 3d illustration,37,Germany,,other,Other
1194132556,Discarded and spoiled food on a rubbish heap,38,Germany,,other,Other
914827314,flat lay with arranged different types of garbage isolated on grey,39,Ukraine,,other,Other
1409283574,Eco concept. A slice of a planet with a pile of garbage spilling into outer space.,40,Ukraine,,other,Other
1408377458,"Circular economy concept. Sharing,reusing,repairing,renovating and recycling existing materials and products as much possible. Energy consumption and CO2 emissions are increasing.",41,,,other,Other
1138607045,Hand holding garbage in plastic bag,42,Latvia,,other,Other
1299064878,"Kitchen leftovers for recycling and composting, garbage sorting, zero waste",43,Spain,,other,Other
1313817688,Fish and plastic granules,44,Netherlands,,other,Other
695970622,Ice Cream Earth,45,South Korea,,other,Other
1390981309,Close-up side shot of hands shows microplastic waste contaminated with the seaside sand. Microplastics are contaminated in the sea. Concept of water pollution and global warming.,46,Thailand|Oceania|Pacific Islands|Hawaii Islands,,other,Other
1150285146,Food quality control concept,47,Germany,,research,Research
1078584198,Laboratory Gloved Hand Holding a Petri Dish,48,Netherlands,,other,Other
1131362780,plastic garbage isolated on white,49,Spain,,other,Other
1439441839,"Woman drop plastic cup into recycling bins, concept of global environmental protection and sustainability.",50,Thailand,,other,Other
1208359077,"Ecosystem and healthy environment concepts and background, Garbage pile in trash dump or landfill, Aerial view garbage trucks unload garbage to a landfill, global warming.",51,Thailand,,dumpsites,Dumpsites
1141330970,Food waste in plastic bags on footpath,52,Thailand,,other,Other
865297750,Litter on the street,53,Netherlands|Rotterdam,,dumpsites,Dumpsites
1321436390,Local vegetables with carbon label,54,Estonia,,other,Other
1169378600,Person performing a selective sorting of household waste in recycling bins.,55,France,,other,Other
1460660429,hand holding the earth on a green background with icon recycle in the concept of reuse reduce recycle rot refuse. zero waste. Conscious consumption.,56,Thailand,,other,Other
1324568012,Amount of styrofoam containers,57,Canada,,other,Other
928307424,Looking down on a crop duster,58,Israel,,other,Other
1070871224,Romaine lettuce contamination with E coli,59,Canada,,other,Other
890918486,Landfill bulldozer horizon,60,UK,,other,Other
1460446693,Woman putting organic waste in the recycling bin,61,Italy,,other,Other
1141208359,"Green food, environmental concept. Hand holding fork with leaves and globe. Element of this image are furnished by NASA",62,,,other,Other
826669540,Light bulb,63,Thailand,,other,Other
1145641258,Eco bag with zero waste shopping fruit and vegetables,64,Ukraine,,other,Other
1446052092,Bin full of garbage on white background. Rubbish recycling,65,Ukraine,,other,Other
479512772,modern kitchen and busy chefs,66,China - East Asia|Asia,,other,Other
1338832276,"Empty potato chips bag, isolated on white background",67,Italy,,other,Other
1424551739,landfill basin,68,Yogyakarta|Indonesia|Asia,,dumpsites,Dumpsites
175419357,Pesticide warning sign on fertile farm land,69,California|City of Monterey - California|USA|Salinas - California|Monterey Peninsula,,other,Other
