id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
1346744481,Anonymous chef harvesting fresh vegetables on a farm,1,South Africa,,other,Other
901653798,Young farmer with crate full of vegetables,2,Serbia,,organic_vegetables_fruits,Organic vegetables fruits
1326644171,Low angle view at farmer feet in rubber boots walking along maize stalks,3,Ukraine,,other,Other
1210263624,Senior farmer standing in soybean field examining crop at sunset.,4,Serbia,,quality_control,Quality control
483539918,Beautiful sunrise view at cabbage field in mon jam mountain,5,Thailand|Asia,,other,Other
1091697242,Bio food. Garden produce and harvested vegetable. Fresh farm vegetables in wooden box,6,Poland,,organic_vegetables_fruits,Organic vegetables fruits
904559406,What's that one doing?,7,Australia,,farming_animals,Farming animals
1318242748,organic hydroponic vegetable garden at greenhouse and light of sunset.,8,Thailand,,greenhouses,Greenhouses
1343851002,An unrecognizable farmer working in the field. He's analyzing his land.,9,Serbia,,other,Other
507512896,Fertile Agricultural Field of Organic Crops in California,10,City of Monterey - California|Palm Springs - California|California|USA|Salinas - California|Monterey Peninsula,,monoculture,Monoculture
1352833803,Happy female farmer holding freshly picked vegetables on her farm,11,South Africa,,manual_labor,Manual labor
629241474,three people in field picking organic kale and vegetables,12,,,other,Other
1282487278,"Try this, organic fruit",13,Former Yugoslavia,,other,Other
663860382,Fresh young green seedlings having just germinated in soil slowly rise above the soil with a very shallow depth of field.,14,,,other,Other
658329762,Fresh young green wet seedlings having just germinated in soil slowly rise above the soil with a very shallow depth of field.,15,,,other,Other
884845442,Organic Farmhouse,16,Serbia,,other,Other
960478834,Growing maize crop and tractor working on the field,17,Czech Republic,,other,Other
1131605187,Rural landscape,18,Ukraine,,monoculture,Monoculture
688966642,Healthy soil is the key to feeding the world,19,South Africa,,other,Other
1030722720,"Fresh organic vegetables harvest. Local farmer market with vegetable box on wooden background, vegetarian food concept",20,Poland,,organic_vegetables_fruits,Organic vegetables fruits
506342740,Chickens In A Field,21,Australia|Victoria - Australia,,farming_chickens,Farming chickens
1217649450,Chicken or hen on a green meadow.,22,Germany,,farming_chickens,Farming chickens
613894638,Young soybean crops at idyllic sunset,23,,,monoculture,Monoculture
1412869552,Biogas plant in agricultural landscape.,24,Czech Republic,,other,Other
1265704346,Organic greenhouse,25,Canada,,greenhouses,Greenhouses
910616490,close-up of growing onion plantation,26,Ukraine,,other,Other
1321487999,Female farmer or agronomist examining green soybean plants in field,27,Serbia,,monoculture,Monoculture
1296340979,Soil mixed with compost at vegetable garden,28,Thailand,,other,Other
529681242,Vegetables,29,Spain,,organic_vegetables_fruits,Organic vegetables fruits
642438586,Keep calm and farm on,30,Australia,,other,Other
695486050,Aerial landscapes,31,Asia|Malaysia|USA|Greenfield - Massachusetts,,other,Other
482802995,"Sunrise on the farm, man working thru crop field",32,,,other,Other
1340306943,Countryside and rice fileds,33,Italy|Piedmont - Italy,,other,Other
1403606866,Women harvesting vegetables in field at dusk,34,Argentina|Buenos Aires,,manual_labor,Manual labor
1410342859,Unrecognizable man picking green peppers from an organic orchard.,35,Europe|Spain,,organic_vegetables_fruits,Organic vegetables fruits
1342189104,Aerial view of tea field,36,China - East Asia|Asia,,other,Other
1154958041,Taking care of the Crop. Aerial view of a Tractor fertilizing a cultivated agricultural field.,37,Bulgaria,,monoculture,Monoculture
1326518001,Happy female farmer holding a wood box containing fresh vegetables,38,Spain,,manual_labor,Manual labor
1190632451,Farmer picking up apples in orchard,39,Serbia,,organic_vegetables_fruits,Organic vegetables fruits
1190855135,Young woman holding vegetable basket in farm,40,Slovenia,,organic_vegetables_fruits,Organic vegetables fruits
