id,title,rank,keyword_Location,cluster,clusterLabel
511870819,Effects of chemicals and heavy metals in soil from Industrial,1,Spain,deforestation_fire,Deforestation fire
517726195,scientist checking pollution levels in deserted landscape,2,,soil_analysis,Soil analysis
1225466143,"Small child holding placard poster on landfill, environmental pollution concept.",3,Slovakia,protests,Protests
1141520118,Ecological catastrophy,4,Russia|Magnitogorsk,other,Other
172378150,Soil samples,5,,soil_analysis,Soil analysis
944453634,"Earth at night was holding in human hands. Earth day. Energy saving concept, Elements of this image furnished by NASA",6,Thailand,other,Other
1423384328,Oil Spill Pollution in the Water,7,Germany,other,Other
944566662,Coal mineral exploitation,8,Spain,other,Other
946745564,Different garbage on a ground,9,Ukraine,other,Other
1208182476,Waves pushing plastic waste to the beach,10,Malaysia|Dominican Republic|Asia,other,Other
1342229191,"A lake in the shape of the world's continents in the middle of untouched nature. A metaphor for ecological travel, conservation, climate change, global warming and the fragility of nature.3d rendering",11,Continent - Geographic Area,other,Other
963303330,Water pollution,12,Brazil,other,Other
929089852,Tar water,13,Greece,other,Other
1291835623,"environmental problems, drought, desertification, thirst, pollution of our land and bad scenarios in the world",14,Türkiye - Country,desertification,Desertification
1168199865,garbage plastic with island floating in the ocean,15,Netherlands,other,Other
649087808,Landscape of meadow field with the changing environment,16,Indonesia,desertification,Desertification
1092303696,Yellow-orange toxic waste in water in sandpit,17,Russia,other,Other
647637038,Little boy playing in a dirty drain trench full of trash,18,Poland,other,Other
1163932285,Aerial view; drone moving over the industrial site with polluted area,19,Russia,mines,Mines
1148581085,Sunrise Sun above the ocean of garbage,20,Europe|Ukraine,dumpsites,Dumpsites
610848500,Water sample,21,,soil_analysis,Soil analysis
1364086226,Smudges of Toxic Industrial Liquid Chemical Pollutant Visible on Surface of Rain Water Puddles on Muddy Ground Road,22,Poland,other,Other
1356821531,Copper mine excavation.,23,USA,mines,Mines
1256608469,Scientist wearing protective gloves examining ground sample,24,,other,Other
537519928,"Young corn plant sprout growing from the ground, Agricultural Farm",25,,other,Other
